,,247Sports,AS,College,DT,Draft,ESPN,FS,From,HM,HS,High School,MP,PS,Pk,Player,PrepStars,RC,RH,RH/PS,RSCI,Rd,Rivals,SC,SI,SN,SS,Scout,Tm,To,VC,WS
33,,,,University of Kentucky,37,2011,,,2012,35,51,"Findlay College Prep (Las Vegas, NV)",,25,53,DeAndre Liggins (college),,28,32,,34,2,,,57,,,,ORL,2018,,2.6
34,,,,Miami (FL),32,,,,,26,71,,,40,,Kenny Kadji (college),,27,27,,35,,,,44,,,,,,,
35,,,,University of Kentucky,38,2012,,,2013,49,45,"Mason County (Maysville, KY)",,37,46,Darius Miller (college),,43,22,,T35,2,,,33,,,,NOH,2018,,4.2
36,,,,Wake Forest,25,,,,,22,92,,,39,,Ty Walker (college),,17,24,,37,,,,58,,,,,,,
37,,,,Memphis,54,,,,,46,24,,,43,,Wesley Witherspoon (college),,34,36,,38,,,,48,,,,,,,
38,,,,Alabama,46,,,,2014,38,23,"Swainsboro (Swainsboro, GA)",,50,,Tony Mitchell (college),,38,39,,39,,,,54,,,,,2014,,0.1
39,,,,Baylor,30,,,,,30,27,,,46,,Anthony Jones (college),,45,50,,40,,,,65,,,,,,,
40,,,,UCLA,31,,,,,45,100,,,27,,Jerime Anderson (college),,37,18,,41,,,,49,,,,,,,
41,,,,Oregon,47,,,,,41,53,,,66,,Tony Woods (college),,20,53,,T41,,,,27,,,,,,,
42,,,,New Mexico,71,,,,,31,50,,,41,,Emmanuel Negedu (college),,40,56,,43,,,,23,,,,,,,
43,,,,University of Oklahoma,69,,,,,42,42,,,38,,Romero Osby (college),,57,42,,44,,,,51,,,,,,,
44,,,,UCLA,67,,,,2015,59,48,"Taft (Woodland Hills, CA)",,22,,Larry Drew (college),,71,45,,T44,,,,29,,,,,2018,,-0.6
45,,,,Syracuse,53,,,,,40,43,,,49,,Mookie Jones (college),,35,60,,46,,,,67,,,,,,,
46,,,,West Virginia University,29,,,,2013,54,39,,,52,,Kevin Jones (college),,73,71,,47,,,,34,,,,,2013,,0.2
47,,,,Xavier,48,,,,,66,46,,,47,,Kenny Frease (college),,42,59,,48,,,,55,,,,,,,
48,,,,Kansas,56,,,,,36,76,"Bishop Miege (Roeland, KS)",,32,,Travis Releford (college),,70,40,,49,,,,62,,,,,,,
49,,,,Maryland,41,,,,,57,78,,,44,,Sean Mosley (college),,62,58,,50,,,,40,,,,,,,
50,,,,Georgetown University,34,,,,2013,61,99,"Mount Saint Joseph (Baltimore, MD)",,57,,Henry Sims (college),,49,88,,51,,,,32,,,,,2016,,6.7
51,,,,Mississippi State,,,,,,11,,,,7,,John Riek (college),,,12,,52,,,,,,,,,,,
52,,,,,63,,,,,55,60,,,53,,Terrelle Pryor,,,67,,53,,,,39,,,,,,,
53,,,,Memphis,62,,,,,43,,,,45,,Angel Garcia (college),,47,70,,54,,,,72,,,,,,,
54,,,,Florida State,50,,,,,48,58,,,97,,Xavier Gibson (college),,56,76,,55,,,,59,,,,,,,
55,,,,Syracuse University,52,2012,,,2013,53,62,,,70,51,Kris Joseph (college),,,64,,56,2,,,50,,,,BOS,2013,,-0.3
56,,,,Louisville,,,,,,33,,,,61,,Terrence Jennings (college),,18,41,,57,,,,,,,,,,,
57,,,,Washington State University,45,2011,,,2012,78,38,,,,11,Klay Thompson (college),,51,,,58,1,,,53,,,,GSW,2018,,41.5
58,,,,Texas,68,,,,,50,33,,,81,,J'Covan Brown (college),,54,92,,59,,,,,,,,,,,
59,,,,Cal State Fullerton,76,,,,,56,98,,,68,,D.J. Seeley (college),,58,52,,60,,,,74,,,,,,,
60,,,,Florida,64,,,,,83,57,,,79,,Ray Shipman (college),,91,66,,61,,,,46,,,,,,,
61,,,,Georgetown,59,,,,,88,74,,,59,,Jason Clark (college),,64,100,,62,,,,45,,,,,,,
62,,,,University of Kansas,,2011,,,2012,62,,"APEX Academy (Pennsauken, NJ)",,62,14,Marcus Morris (college),,29,38,,63,1,,,,,,,HOU,2018,,24.1
63,,,,Minnesota,49,,,,,77,,"Northview (Duluth, GA)",,56,,Ralph Sampson (college),,59,54,,64,,,,,,,,,,,
64,,,,Clemson,55,,,,,52,87,,,60,,Catalin Baciu (college),,,49,,65,,,,,,,,,,,
65,,,,Nevada,92,,,,,58,44,,,64,,Olek Czyz (college),,,65,,66,,,,87,,,,,,,
66,,,,University of Kansas,,2011,,,2012,80,,"APEX Academy (Pennsauken, NJ)",,48,13,Markieff Morris (college),,50,33,,67,1,,,,,,,PHO,2018,,22.6
67,,,,Texas A&M,90,,,,,79,59,,,65,,Elston Turner (college),,,51,,68,,,,71,,,,,,,
68,,,,Washington,58,,,,,97,93,,,51,,Scott Suggs (college),,97,48,,69,,,,73,,,,,,,
69,,,,Southern California,98,,,,,69,54,"Harvard-Westlake (Studio City, CA)",,72,,Renaldo Woolridge (college),,53,77,,70,,,,96,,,,,,,
70,,,,Charlotte,57,,,,,67,83,,,76,,Chris Braswell (college),,84,99,,71,,,,66,,,,,,,
71,,,,Louisiana State,,,,,,,52,,,63,,Storm Warren (college),,,63,,72,,,,60,,,,,,,
72,,,,University of Kansas,82,2012,,,2013,96,41,"Saint Anthony (Jersey City, NJ)",,98,41,Tyshawn Taylor (college),,77,62,,73,2,,,86,,,,POR,2014,,-0.9
73,,,,Mississippi,73,,,,,68,75,,,84,,Terrance Henry (college),,65,98,,74,,,,83,,,,,,,
74,,,,University of Connecticut,28,2011,,,,,,,,,58,Ater Majok (college),,13,,,T74,2,,,,,,,LAL,,,
75,,,,Florida,60,,,,,65,,,,74,,Allan Chaney (college),,96,94,,76,,,,64,,,,,,,
76,,,,Memphis,88,,,,,64,,,,69,,Matt Simpkins (college),,80,57,,78,,,,,,,,,,,
77,,,,Florida,,,,,,,30,,,58,,Erving Walker (college),,,,,79,,,,75,,,,,,,
78,,,,University of Arkansas,,,,,2012,44,,"The Patterson School (Patterson, NC)",,93,,Courtney Fortson (college),,60,68,,80,,,,,,,,,2012,,-0.1
79,,,,Duke University,40,2012,,,2013,,81,"Christ School (Arden, NC)",,99,26,Miles Plumlee (college),,,,,81,1,,,47,,,,IND,2018,,13.1
80,,,,Texas A&M,87,,,,,89,80,,,,,David Loubeau (college),,63,,,82,,,,61,,,,,,,
81,,,,Iowa State,70,,,,,86,,,,,,Anthony Booker (college),,44,,,83,,,,80,,,,,,,
82,,,,,51,2010,,,,,29,"Christian Life Center Academy (Humble, TX)",,,48,Latavious Williams,,,,,84,2,,,,,,,MIA,,,
83,,,,Pittsburgh,66,,,,,75,79,,,,,Nasir Robinson (college),,,84,,85,,,,81,,,,,,,
84,,,,Butler,83,,,,,,56,,,,,Rotnei Clarke (college),,,,,86,,,,52,,,,,,,
85,,,,Iowa State,94,,,,,73,55,,,,,Korie Lucious (college),,98,,,87,,,,78,,,,,,,
86,,,,Mississippi,,,,,,,61,,,,,Nick Williams (college),,,,,88,,,,35,,,,,,,
87,,,,Iowa,65,,,,,71,64,,,,,Matt Gatens (college),,,,,89,,,,99,,,,,,,
88,,,,Nevada-Las Vegas,97,,,,,85,,,,86,,Quintrell Thomas (college),,,79,,90,,,,56,,,,,,,
89,,,,,,,,,,60,,,,71,,Nate Miles,,79,,,91,,,,,,,,,,,
90,,,,Cincinnati,,,,,,,,,,55,,Cashmere Wright (college),,82,,,93,,,,76,,,,,,,
91,,,,Creighton,,,,,,,15,"St. Benedict's Prep (Newark, NJ)",,,,Gregory Echenique (college),,,,,94,,,,,,,,,,,
92,,,,Dayton,,,,,,,69,,,85,,Paul Williams (college),,,,,95,,,,68,,,,,,,
93,,,,Vanderbilt University,,2012,,,2013,,,"Hobbs (Hobbs, NM)",,,31,Jeff Taylor (college),,52,,,T95,2,,,69,,,,CHA,2015,,1.3
94,,,,Michigan State University,85,2012,,,2013,,,"Saginaw (Saginaw, MI)",,,35,Draymond Green (college),,,,,T95,2,,,36,,,,GSW,2018,,39.0
95,,,,Oregon,89,,,,,,97,,,,,Devoe Joseph (college),,61,78,,98,,,,,,,,,,,
96,,,,,100,,,,,81,63,,,,,Roscoe Davis,,,,,99,,,,82,,,,,,,
97,,,,Wisconsin,84,,,,,87,,,,,,Jared Berggren (college),,74,82,,100,,,,,,,,,,,
98,,,,South Florida,,,,,,92,77,,,88,,Anthony Crater (college),,,83,,T100,,,,88,,,,,,,
99,,,,Jacksonville,72,,,,,99,,,,,,Delwan Graham (college),,,55,,T100,,,,,,,,,,,
0,,,3,University of Southern California,1,2008,,,2009,2,3,"Huntington (Huntington, WV)",,1,3,O.J. Mayo (college),,4,1,,1,1,,,,,,,MIN,2016,,21.8
1,,,1,"University of California, Los Angeles",3,2008,,,2009,1,1,"Lake Oswego (Lake Oswego, OR)",,3,5,Kevin Love (college),,6,3,,2,1,,,,,,,MEM,2018,,76.9
2,,,2,Indiana University,4,2008,,,2009,3,2,"North Central (Indianapolis, IN)",,4,7,Eric Gordon (college),,2,2,,3,1,,,,,,,LAC,2018,,31.0
3,,,8,Kansas State University,2,2008,,,2009,4,4,"Notre Dame Preparatory School (Fitchburg, MA)",,2,2,Michael Beasley (college),,1,4,,4,1,,,,,,,MIA,2018,,15.3
4,,,5,University of Memphis,5,2008,,,2009,5,8,"Simeon Career Academy (Chicago, IL)",,6,1,Derrick Rose (college),,3,5,,5,1,,,,,,,CHI,2018,,34.1
5,,,4,Duke University,6,2011,,,2013,6,6,"South Medford (Medford, OR)",,5,33,Kyle Singler (college),,5,6,,6,2,,,,,,,DET,2018,,12.0
6,,,13,University of Arizona,9,2008,,,2009,7,5,"Saint Mary's (Phoenix, AZ)",,12,11,Jerryd Bayless (college),,13,7,,7,1,,,,,,,IND,2018,,22.7
7,,,18,Syracuse University,8,2008,,,2009,9,7,"Towson Catholic (Towson, MD)",,8,28,Donte Greene (college),,9,14,,8,1,,,,,,,MEM,2012,,1.5
8,,,15,North Carolina State University,13,2008,,,2009,12,14,"Wheeler (Marietta, GA)",,7,19,J.J. Hickson (college),,10,11,,9,1,,,,,,,CLE,2016,,24.4
9,,,9,University of Kentucky,12,2010,,,2011,11,15,"Huntington (Huntington, WV)",,9,14,Patrick Patterson (college),,17,12,,10,1,,,,,,,HOU,2018,,35.5
10,,,10,University of Florida,10,2009,,,2014,8,12,"Lake Howell (Winter Park, FL)",,16,45,Nick Calathes (college),,14,17,,11,2,,,,,,,MIN,2015,,2.6
11,,,12,Ohio State University,14,2008,,,2009,10,9,"GlenOak (Canton, OH)",,13,23,Kosta Koufos (college),,16,22,,12,1,,,,,,,UTA,2018,,27.8
12,,,26,Texas A&M University,11,2008,,,2009,15,24,"Christian Life Center Academy (Humble, TX)",,11,35,DeAndre Jordan (college),,8,8,,13,2,,,,,,,LAC,2018,,76.3
13,,,7,Georgetown,15,,,,,16,16,,,19,,Austin Freeman (college),,15,24,,14,,,,,,,,,,,
14,,,30,Louisiana State University,17,2008,,,2009,13,23,"Woodrow Wilson (Dallas, TX)",,10,14,Anthony Randolph (college),,12,9,,15,1,,,,,,,GSW,2014,,6.2
15,,,19,University of Oklahoma,16,2009,,,2011,14,21,"Oklahoma Christian School (Edmond, OK)",,21,1,Blake Griffin (college),,23,13,,16,1,,,,,,,LAC,2018,,72.3
16,,,22,Arizona State University,23,2009,,,2010,17,25,"Artesia (Lakewood, CA)",,27,3,James Harden (college),,11,21,,17,1,,,,,,,OKC,2018,,106.7
17,,,6,Duke University,26,2011,,,2012,26,13,"Oak Hill Academy (Mouth of Wilson, VA)",,20,21,Nolan Smith (college),,39,20,,18,1,,,,,,,POR,2013,,-0.8
18,,,23,Georgia Institute of Technology,20,2010,,,2011,19,27,"Norcross (Norcross, GA)",,14,46,Gani Lawal (college),,29,19,,19,2,,,,,,,PHO,2011,,-0.0
19,,,24,Syracuse University,21,2009,,,2010,20,29,"Niagara Falls (Niagara Falls, NY)",,26,6,Jonny Flynn (college),,22,15,,20,1,,,,,,,MIN,2012,,-1.0
20,,,11,Villanova,36,,,,,22,11,,,22,,Corey Fisher (college),,27,46,,21,,,,,,,,,,,
21,,,14,University of Kansas,38,2010,,,2011,36,10,"Thomas Jefferson (Bloomington, MN)",,24,11,Cole Aldrich (college),,30,36,,22,1,,,,,,,NOH,2018,,10.1
22,,,21,Purdue University,27,2011,,,2012,25,22,"East Chicago (East Chicago, IN)",,33,55,E'Twaun Moore (college),,35,31,,23,2,,,,,,,BOS,2018,,11.9
23,,,34,Florida State University,25,2010,,,2011,30,19,"Montverde Academy (Montverde, FL)",,25,50,Solomon Alabi (college),,24,39,,24,2,,,,,,,DAL,2012,,0.0
24,,,43,Arizona,30,,,,,21,28,,,29,,Jamelle Horne (college),,21,27,,25,,,,,,,,,,,
25,,,16,Villanova,37,,,,,29,52,,,18,,Corey Stokes (college),,28,23,,26,,,,,,,,,,,
26,,,17,Villanova,56,,,,,37,18,,,17,,Taylor King (college),,37,29,,27,,,,,,,,,,,
27,,,25,Oklahoma State University,18,2010,,,2011,18,73,"Junction City (Junction City, AR)",,31,20,James Anderson (college),,32,25,,28,1,,,,,,,SAS,2016,,4.2
28,,,32,Texas,33,,,,,32,42,,,15,,Gary Johnson (college),,59,10,,29,,,,,,,,,,,
29,,,42,Michigan State,22,,,,,23,35,,,32,,Durrell Summers (college),,56,16,,30,,,,,,,,,,,
30,,,27,Georgetown University,48,,,,2013,31,17,"St. John's College (Washington, DC)",,23,,Chris Wright (college),,53,32,,31,,,,,,,,,2013,,-0.0
31,,,33,Seton Hall,34,,,,,33,57,,,28,,Herb Pope (college),,31,30,,32,,,,,,,,,,,
32,,,20,Texas,45,,,,,35,37,,,35,,Jai Lucas (college),,42,35,,33,,,,,,,,,,,
33,,,28,Gonzaga University,57,2009,,,2010,41,20,"Woodbridge (Irvine, CA)",,42,15,Austin Daye (college),,25,40,,34,1,,,,,,,DET,2015,,6.3
34,,,37,Michigan State,35,,,,2015,39,39,"St. Mary's Preparatory (Orchard Lake, MI)",,39,,Kalin Lucas (college),,38,28,,35,,,,,,,,,2015,,-0.0
35,,,31,University of Pittsburgh,19,2009,,,2010,24,58,"Schenley (Pittsburgh, PA)",,55,37,DeJuan Blair (college),,57,18,,36,2,,,,,,,SAS,2016,,19.0
36,,,56,Baylor,24,,,,,27,31,,,47,,Lacedarius Dunn (college),,45,33,,37,,,,,,,,,,,
37,,,29,Florida International,39,,,,,42,53,,,30,,Alex Legion (college),,43,34,,38,,,,,,,,,,,
38,,,44,University of Florida,32,2011,,,2012,34,26,"Lake Howell (Winter Park, FL)",,65,38,Chandler Parsons (college),,19,54,,39,2,,,,,,,HOU,2018,,29.1
39,,,47,Iowa State,53,,,,,45,32,,,46,,Chris Allen (college),,33,41,,40,,,,,,,,,,,
40,,,35,DePaul,52,,,,,46,55,,,40,,Dar Tucker (college),,44,43,,41,,,,,,,,,,,
41,,,39,University of Michigan,41,,,,2011,48,59,"Redford (Redford, MI)",,51,,Manny Harris (college),,34,55,,42,,,,,,,,,2017,,0.1
42,,,63,Notre Dame,29,,,,,47,56,,,36,,Scott Martin (college),,72,26,,43,,,,,,,,,,,
43,,,36,Alabama,42,,,,,49,40,,,68,,Senario Hillman (college),,40,66,,44,,,,,,,,,,,
44,,,,DePaul,28,,,,,28,36,,,58,,Mac Koshwal (college),,18,78,,45,,,,,,,,,,,
45,,,50,Wake Forest University,44,2009,,,2010,43,44,"Cheyenne East (Cheyenne, WY)",,57,16,James Johnson (college),,60,52,,46,1,,,,,,,CHI,2018,,22.5
46,,,41,Purdue University,47,2011,,,2012,52,95,"Franklin Central (Indianapolis, IN)",,52,27,JaJuan Johnson (college),,41,37,,47,1,,,,,,,NJN,2012,,0.2
47,,,38,Seton Hall,43,,,,,53,41,,,100,,Jeff Robinson (college),,36,63,,48,,,,,,,,,,,
48,,,,Washington,67,,,,,59,33,,,37,,Matthew Bryan-Amaning (college),,47,44,,49,,,,,,,,,,,
49,,,48,Syracuse,75,,,,,56,38,,,63,,Scoop Jardine (college),,51,79,,50,,,,,,,,,,,
50,,,,Iowa State University,40,2010,,,2011,44,,"Brewster Academy (Wolfeboro, NH)",,64,21,Craig Brackins (college),,20,48,,51,1,,,,,,,OKC,2012,,-0.2
51,,,49,Ohio State University,59,2010,,,2011,62,,"St. Joseph (Westchester, IL)",,45,2,Evan Turner (college),,48,58,,52,1,,,,,,,PHI,2018,,19.9
52,,,,Florida,68,,,,,40,,,,34,,Alex Tyus (college),,49,42,,53,,,,,,,,,,,
53,,,46,Manhattan,72,,,,,66,34,,,84,,Rico Pickett (college),,67,69,,54,,,,,,,,,,,
54,,,69,Wake Forest University,46,2009,,,2010,57,79,"Pike (Indianapolis, IN)",,61,19,Jeff Teague (college),,55,81,,55,1,,,,,,,ATL,2018,,46.1
55,,,71,University of Dayton,49,,,,2012,68,76,"Trotwood-Madison (Trotwood, OH)",,53,,Chris Wright (college),,82,53,,56,,,,,,,,,2014,,0.9
56,,,40,Ohio State University,65,2011,,,,60,96,"Upper Sandusky (Upper Sandusky, OH)",,89,51,Jon Diebler (college),,58,51,,57,2,,,,,,,POR,,,
57,,,,Cincinnati,54,,,,,55,,,,56,,Anthony McClain (college),,54,45,,58,,,,,,,,,,,
58,,,52,Nevada-Las Vegas,64,,,,,64,,"Fairfax (Los Angeles, CA)",,69,,Chace Stanback (college),,65,59,,59,,,,,,,,,,,
59,,,51,Syracuse,58,,,,,65,43,,,73,,Rick Jackson (college),,97,90,,60,,,,,,,,,,,
60,,,75,Purdue University,51,2012,,,2014,63,72,"Valparaiso (Valparaiso, IN)",,88,58,Robbie Hummel (college),,71,62,,61,2,,,,,,,MIN,2015,,1.9
61,,,53,University of Kansas,31,2011,,,2012,51,46,"APEX Academy (Pennsauken, NJ)",,,14,Marcus Morris (college),,,,,62,1,,,,,,,HOU,2018,,24.1
62,,,80,Kansas,84,,,,,83,45,,,48,,Tyrel Reed (college),,,49,,63,,,,,,,,,,,
63,,,,North Carolina State,70,,,,,54,,,,41,,Tracy Smith (college),,46,85,,64,,,,,,,,,,,
64,,,65,Illinois,71,,,,,77,65,,,77,,Demetri McCamey (college),,68,84,,65,,,,,,,,,,,
65,,,62,Virginia,85,,,,,72,,,,62,,Jeff Jones (college),,76,50,,66,,,,,,,,,,,
66,,,45,Fairfield,86,,,,,,78,,,50,,Rakim Sanders (college),,,47,,T66,,,,,,,,,,,
67,,,68,Rutgers,82,,,,,74,30,,,92,,Corey Chandler (college),,62,,,68,,,,,,,,,,,
68,,,67,Towson,90,,,,,70,61,,,70,,Braxton Dupree (college),,,60,,69,,,,,,,,,,,
69,,,,Kansas State University,7,2008,,,2009,,,"North College Hill (Cincinnati, OH)",,,47,Bill Walker (college),,7,,,T69,2,,,,,,,WAS,2015,,6.9
70,,,60,Virginia Tech,74,,,,,76,88,,,59,,Dorenzo Hudson (college),,,70,,71,,,,,,,,,,,
71,,,54,Texas State,97,,,,,69,63,,,44,,Eddie Rios (college),,,,,72,,,,,,,,,,,
72,,,,Georgetown,77,,,,,81,50,,,54,,Julian Vaughn (college),,,68,,73,,,,,,,,,,,
73,,,55,Virginia Tech,83,,,,,88,91,,,49,,Malcolm Delaney (college),,83,88,,74,,,,,,,,,,,
74,,,74,Ohio State,93,,,,,,,,,38,,Dallas Lauderdale (college),,,38,,75,,,,,,,,,,,
75,,,,Arkansas,60,,,,,58,,,,,,Jason Henry (college),,52,83,,76,,,,,,,,,,,
76,,,,South Florida,55,,,,,,,,,43,,Gus Gilchrist (college),,,56,,77,,,,,,,,,,,
77,,,,North Carolina Central,50,,,,,71,,,,66,,Dominique Sutton (college),,99,74,,78,,,,,,,,,,,
78,,,,Alabama-Birmingham,,,,,,38,,,,95,,Beas Hamga (college),,26,,,79,,,,,,,,,,,
79,,,,St. John's (NY),,,,,,50,,,,87,,Justin Burrell (college),,50,75,,80,,,,,,,,,,,
80,,,58,Georgia,,,,,,84,,,,74,,Jeremy Price (college),,75,72,,T80,,,,,,,,,,,
81,,,59,Texas,94,,,,,73,71,,,,,Clint Chapman (college),,69,,,82,,,,,,,,,,,
82,,,,Virginia Tech,,,,,,67,,,,67,,Jeff Allen (college),,73,61,,83,,,,,,,,,,,
83,,,70,Fairleigh Dickinson,76,,,,,80,,,,76,,George Goode (college),,95,99,,84,,,,,,,,,,,
84,,,,Penn State,66,,,,,75,,,,,,Jeff Brooks (college),,,57,,85,,,,,,,,,,,
85,,,64,Mississippi State,80,,,,,89,74,,,,,Ravern Johnson (college),,,94,,86,,,,,,,,,,,
86,,,66,Georgia Tech,,,,,,95,83,,,80,,Maurice Miller (college),,92,87,,87,,,,,,,,,,,
87,,,93,University of Wisconsin,89,2011,,,2012,85,,"Orono (Orono, MN)",,91,40,Jon Leuer (college),,77,73,,88,2,,,,,,,MIL,2018,,12.5
88,,,,Pittsburgh,73,,,,,97,49,,,,,Brad Wanamaker (college),,88,,,89,,,,,,,,,,,
89,,,,Detroit Mercy,78,,,,,92,66,,,,,Eli Holman (college),,80,,,90,,,,,,,,,,,
90,,,73,Minnesota,,,,,,,90,,,71,,Trevor Mbakwe (college),,,86,,91,,,,,,,,,,,
91,,,57,University of Kansas,62,2011,,,2012,,,"APEX Academy (Pennsauken, NJ)",,,13,Markieff Morris (college),,,,,92,1,,,,,,,PHO,2018,,22.6
92,,,78,Georgia State,92,,,,,90,64,,,,,Brandon McGee (college),,,,,93,,,,,,,,,,,
93,,,61,Longwood,91,,,,,87,,,,,,Martavius Adams (college),,87,,,94,,,,,,,,,,,
94,,,79,Washington,,,,,,,,,,78,,Darnell Gant (college),,93,77,,95,,,,,,,,,,,
95,,,,Coastal Carolina,87,,,,,,,,,75,,Mike Holmes (college),,,65,,96,,,,,,,,,,,
96,,,,Southern California,,,,,,61,,,,,,Mamadou Diarra (college),,66,,,97,,,,,,,,,,,
97,,,,San Diego State,,,,,,,75,,,,,Tyrone Shelley (college),,64,,,98,,,,,,,,,,,
98,,,72,Wyoming,,,,,,,70,,,,,Leonard Washington (college),,,,,99,,,,,,,,,,,
99,,,83,Gonzaga,,,,,,,,,,,,Steven Gray (college),,61,,,100,,,,,,,,,,,
0,,,,Ohio State University,1,2007,,,2009,1,1,"Lawrence North (Indianapolis, IN)",,1,1,Greg Oden (college),,1,1,,1,1,,,,,,,POR,2014,,7.3
1,,,,University of Texas at Austin,2,2007,,,2008,2,2,"Montrose Christian School (Rockville, MD)",,2,2,Kevin Durant (college),,2,2,,2,1,,,,,,,SEA,2018,,130.2
2,,,,University of North Carolina,3,2007,,,2008,4,4,"Brentwood Academy (Brentwood, TN)",,7,8,Brandan Wright (college),,3,6,,3,1,,,,,,,CHA,2018,,34.4
3,,,,University of Washington,4,2007,,,2008,3,7,"Seattle Preparatory School (Seattle, WA)",,8,10,Spencer Hawes (college),,6,5,,4,1,,,,,,,SAC,2017,,28.8
4,,,,University of North Carolina,5,2009,,,2010,6,3,"Oak Hill Academy (Mouth of Wilson, VA)",,5,18,Ty Lawson (college),,9,7,,5,1,,,,,,,MIN,2017,,43.0
5,,,,Georgia Institute of Technology,6,2007,,,2008,7,8,"Mitchell (Memphis, TN)",,6,12,Thaddeus Young (college),,5,4,,6,1,,,,,,,PHI,2018,,55.8
6,,,,University of Arizona,8,2009,,,2010,9,10,"La Costa Canyon (Carlsbad, CA)",,4,44,Chase Budinger (college),,4,3,,7,2,,,,,,,DET,2016,,15.3
7,,,,University of North Carolina,7,2009,,,2010,8,5,"The Episcopal Academy (Newtown Square, PA)",,3,28,Wayne Ellington (college),,8,11,,8,1,,,,,,,MIN,2018,,18.4
8,,,,Stanford University,11,2008,,,2009,11,11,"San Joaquin Memorial (Fresno, CA)",,10,10,Brook Lopez (college),,10,8,,9,1,,,,,,,NJN,2018,,53.4
9,,,,Duke University,15,2009,,,2010,12,17,"The Episcopal Academy (Newtown Square, PA)",,9,12,Gerald Henderson (college),,11,10,,10,1,,,,,,,CHA,2017,,18.3
10,,,,University of Kansas,9,2008,,,2009,15,9,"South Oak Cliff (Dallas, TX)",,16,27,Darrell Arthur (college),,16,14,,11,1,,,,,,,NOH,2018,,12.3
11,,,,Georgia Institute of Technology,14,2007,,,2008,10,6,"Southwest Atlanta Christian Academy (Atlanta, GA)",,20,19,Javaris Crittenton (college),,7,28,,12,1,,,,,,,LAL,2009,,0.1
12,,,,Ohio State University,13,2007,,,2008,13,24,"Paul Laurence Dunbar (Dayton, OH)",,17,21,Daequan Cook (college),,13,12,,13,1,,,,,,,PHI,2013,,4.7
13,,,,University of Kansas,12,,,,2011,14,22,"Crane Technical Preparatory (Chicago, IL)",,13,,Sherron Collins (college),,21,13,,14,,,,,,,,,2011,,-0.2
14,,,,University of Texas at Austin,19,2010,,,2011,16,19,"Nacogdoches (Nacogdoches, TX)",,21,24,Damion James (college),,17,27,,15,1,,,,,,,ATL,2014,,-0.0
15,,,,University of Florida,17,2011,,,2012,18,12,"Hargrave Military Academy (Chatham, VA)",,12,52,Vernon Macklin (college),,37,24,,16,2,,,,,,,DET,2012,,0.5
16,,,,University of Texas at El Paso,25,2010,,,2011,24,18,"Notre Dame Preparatory School (Fitchburg, MA)",,14,58,Derrick Caracter (college),,25,15,,17,2,,,,,,,LAL,2011,,0.3
17,,,,University of Connecticut,23,,,,,21,25,,,25,,Stanley Robinson (college),,14,16,,18,,,,,,,,,,,
18,,,,Stanford University,21,2008,,,2009,27,27,"San Joaquin Memorial (Fresno, CA)",,19,15,Robin Lopez (college),,28,9,,19,1,,,,,,,PHO,2018,,40.2
19,,,,Duke University,18,,,,2012,17,15,"Saint Benedict's Preparatory School (Newark, NJ)",,26,,Lance Thomas (college),,42,19,,20,,,,,,,,,2018,,4.9
20,,,,Ohio State University,28,2007,,,2008,20,23,"Lawrence North (Indianapolis, IN)",,27,4,Mike Conley (college),,18,23,,21,1,,,,,,,MEM,2018,,63.4
21,,,,Tennessee,27,,,,,25,14,,,22,,Duke Crews (college),,26,26,,22,,,,,,,,,,,
22,,,,Syracuse,10,,,,,5,,,,11,,Paul Harris (college),,12,17,,23,,,,,,,,,,,
23,,,,University of Louisville,24,2009,,,2010,22,54,"Rahway (Rahway, NJ)",,18,14,Earl Clark (college),,22,22,,24,1,,,,,,,PHO,2015,,3.5
24,,,,Duke,38,,,,,28,20,,,23,,Brian Zoubek (college),,24,35,,25,,,,,,,,,,,
25,,,,Georgetown University,22,2009,,,2010,26,26,"McDonogh School (Owings Mills, MD)",,44,35,DaJuan Summers (college),,23,32,,26,2,,,,,,,DET,2013,,-0.1
26,,,,University of Washington,16,2010,,,2011,32,30,"San Joaquin Memorial (Fresno, CA)",,31,26,Quincy Pondexter (college),,48,18,,27,1,,,,,,,OKC,2018,,11.8
27,,,,Duke,20,,,,,23,13,,,28,,Jon Scheyer (college),,71,21,,28,,,,,,,,,,,
28,,,,University of Texas at Austin,29,2008,,,2009,29,16,"Hightower (Missouri City, TX)",,24,9,D.J. Augustin (college),,49,45,,29,1,,,,,,,CHA,2018,,47.2
29,,,,Kansas State,35,,,,,35,28,,,34,,Curtis Kelly (college),,27,36,,30,,,,,,,,,,,
30,,,,Ohio State,31,,,,,34,46,,,35,,David Lighty (college),,36,29,,31,,,,,,,,,,,
31,,,,Michigan,32,,,,,38,44,,,30,,Deshawn Sims (college),,31,38,,32,,,,,,,,,,,
32,,,,Tennessee,47,,,,,33,34,,,33,,Ramar Smith (college),,20,51,,33,,,,,,,,,,,
33,,,,Michigan State,34,,,,,37,42,,,36,,Raymar Morgan (college),,33,37,,34,,,,,,,,,,,
34,,,,Oklahoma State,26,,,,,30,36,,,54,,Obi Muonelo (college),,19,74,,35,,,,,,,,,,,
35,,,,University of Connecticut,43,,,,2012,53,40,"Proctor Academy (Andover, NH)",,42,,Jerome Dyson (college),,52,25,,36,,,,,,,,,2012,,0.1
